03-Aug-13 - Matchday 1		Tall. Cba	2-2 	Sarmiento		Echenique
09-May-14		Instituto	1-0 	Sp.Belgr		Díaz, P
09-May-14		B. Unidos	3-0 	Union		Tello
09-May-14		Atl. Tuc	1-0 	Sarmiento		Espinoza, F
10-May-14		D.Haig	0-0 	Ferro		Dóvalo
10-May-14		Huracan	3-0 	Banfield		Loustau, P
10-May-14		Aldosivi	1-0 	Tall. Cba		Lamolina, N
10-May-14		Patronato	2-0 	Crucero		Paletta
14-May-14 - Matchday 38		AlteBrown	1-0 	B. Unidos		Argañaraz
14-May-14		S. Carlos	0-0 	Huracan		Córdoba
14-May-14		Ferro	1-1 	Indepte		Delfino
14-May-14		Tall. Cba	1-2 	Atl. Tuc		Merlos
14-May-14		Union	1-1 	Aldosivi		González, M
14-May-14		Sp.Belgr	1-0 	Patronato		Suarez
14-May-14		Sarmiento	1-1 	Indp Rvia		Alvarez, L
14-May-14		Crucero	1-3 	Brown		Bocca
14-May-14		S.M. SJ	0-1 	Def y Jus		Beligoy
14-May-14		Gsia.Jujuy	1-1 	Instituto		Pitana
15-May-14		Banfield	1-1 	D.Haig		Maglio
18-May-14 - Matchday 39		Huracan	3-1 	Sarmiento		Lamolina, N
18-May-14		Atl. Tuc	1-1 	Union		Baliño
18-May-14		Patronato	1-1 	Gsia.Jujuy		Tello
19-May-14		Indp Rvia	3-2 	Tall. Cba		Giannini
19-May-14		Brown	0-0 	Sp.Belgr		Ejarque
19-May-14		D.Haig	1-2 	Indepte		Alvarez, L
19-May-14		Aldosivi	3-0 	AlteBrown		Abal
19-May-14		Def y Jus	0-1 	Ferro		Echenique
19-May-14		Instituto	3-0 	S.M. SJ		Penel
19-May-14		B. Unidos	1-0 	Crucero		Díaz, P
20-May-14		Banfield	4-2 	S. Carlos		Delfino
22-May-14 - Matchday 36		Huracan	2-1 	D.Haig	 Argañaraz
